R.U.T.,Entidad,Vigencia,URL Ficha,rut,nombre_razon_social,nombre_fantasia,vigencia,tipo_persona,numero_inscripcion,tipo_doc_nombramiento,nro_doc_nombramiento,fecha_doc_nombramiento,telefono,domicilio,comuna,ciudad,region,casilla,url_ficha
79565000-8,ETCHEPARE Y HONORATO LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=79565000&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAFUAAO&control=svs&pestania=1,79565000-8,ETCHEPARE Y HONORATO LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,2747,Circular,512,1985-06-11,,FELIX DE AMESTI 124 OF 32,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=79565000&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAFUAAO&control=svs&pestania=1
78427200-1,EXIT CHILE CORREDORES DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78427200&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAFCAAV&control=svs&pestania=1,78427200-1,EXIT CHILE CORREDORES DE SEGUROS LIMITADA,EXIT CHILE CORSEG LTDA.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,4749,Resolución,86,1994-07-12,,NAPOLEON 3565 OF 609,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78427200&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAFCAAV&control=svs&pestania=1
77414704-7,F & C CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77414704&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO6AAS&control=svs&pestania=1,77414704-7,F & C CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8983,Certificado,,2021-11-19,,"MANUEL ANTONIO TOCORNAL 601, DEP 2513",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77414704&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO6AAS&control=svs&pestania=1
77721245-1,F & G CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77721245&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPWAAA&control=svs&pestania=1,77721245-1,F & G CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9506,Certificado,,2023-08-28,,BARROS ARANA 1098 OF Nº 1802,,CONCEPCION,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77721245&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPWAAA&control=svs&pestania=1
76847257-2,F&Q CORREDORES DE SEGUROS Y ASESORIAS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76847257&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO8AAG&control=svs&pestania=1,76847257-2,F&Q CORREDORES DE SEGUROS Y ASESORIAS SPA,UMBRELLA CORREDORES DE SEGUROS Y ASESOR,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8354,Certificado,,2018-07-30,,MTZ 1491,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76847257&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO8AAG&control=svs&pestania=1
76863439-4,FARAH Y VIDAL CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76863439&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO9AAD&control=svs&pestania=1,76863439-4,FARAH Y VIDAL CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8498,Certificado,,2019-04-25,,EL TAMARUGO 1531,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76863439&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO9AAD&control=svs&pestania=1
77700732-7,FARO BRIZE CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77700732&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPpAAA&control=svs&pestania=1,77700732-7,FARO BRIZE CORREDORES DE SEGUROS SPA,BRIZE CORREDORES DE SEGUROS SPA,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9501,Certificado,,2023-08-22,,ISIDORA GOYENECHEA 3000 OFICINA S-107,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77700732&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPpAAA&control=svs&pestania=1
78104150-5,FELIPE PAUL Y COMPAÑIA LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78104150&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAFwAAe&control=svs&pestania=1,78104150-5,FELIPE PAUL Y COMPAÑIA LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,4348,Resolución,169,1991-10-08,,"CALLAO 2975, OFICINA 101",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78104150&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAFwAAe&control=svs&pestania=1
76174956-0,FER CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76174956&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWODAAa&control=svs&pestania=1,76174956-0,FER CORREDORES DE SEGUROS SPA,FER,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7546,Certificado,,2014-06-05,,ALONSO DE CORDOVA 5151OFICINA 1104,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76174956&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWODAAa&control=svs&pestania=1
76095471-3,FERNANDEZ & SANTANDER CORREDORES DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76095471&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHkAAS&control=svs&pestania=1,76095471-3,FERNANDEZ & SANTANDER CORREDORES DE SEGUROS LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,6865,Certificado,,2010-05-24,,7 NORTE 645 OFICINA 511,,VIÑA DEL MAR,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76095471&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHkAAS&control=svs&pestania=1
77377650-4,FERNANDO PEÑA Y COMPAÑIA LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77377650&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAFsAAU&control=svs&pestania=1,77377650-4,FERNANDO PEÑA Y COMPAÑIA LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,5460,Resolución,29,2000-02-07,,"DIGENIA 356, JARDIN DEL MAR",,VI#A DEL MAR,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77377650&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAFsAAU&control=svs&pestania=1
77545765-1,FFO CORREDORA DE SEGUROS GENERALES Y DE VIDA SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77545765&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOoAAg&control=svs&pestania=1,77545765-1,FFO CORREDORA DE SEGUROS GENERALES Y DE VIDA SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9170,Certificado,,2022-06-10,,LOS MANZANOS 208 VILLA LAS QUINTAS,,LOS ANGELES,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77545765&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOoAAg&control=svs&pestania=1
76933876-4,FINANCIALCHILE CORREDORA DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76933876&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOjAAH&control=svs&pestania=1,76933876-4,FINANCIALCHILE CORREDORA DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8585,Certificado,,2019-08-29,,"SAN PATRICIO 4099, OFICINA 503",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76933876&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOjAAH&control=svs&pestania=1
77131106-7,FINANCIAMIENTO Y SEGUROS CORREDORES SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77131106&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOhAAI&control=svs&pestania=1,77131106-7,FINANCIAMIENTO Y SEGUROS CORREDORES SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8805,Resolución,6107,2020-12-17,,JUAN REUSCH 471 OF- 407 ED. PASEO DE LAS,,TEMUCO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77131106&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOhAAI&control=svs&pestania=1
77479224-4,FINFAST CORREDORA DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77479224&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO7AAT&control=svs&pestania=1,77479224-4,FINFAST CORREDORA DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9091,Certificado,1395,2022-03-16,,AVENIDA PROVIDENCIA 1208 OFICINA 1803,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77479224&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO7AAT&control=svs&pestania=1
77359040-0,FIST CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77359040&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHVAAY&control=svs&pestania=1,77359040-0,FIST CORREDORES DE SEGUROS SPA,ICB CORREDORA DE SEGUROS LTDA.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7200,Certificado,,2012-08-21,,MEDIO ORIENTE 1175,,VINA DEL MAR,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77359040&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHVAAY&control=svs&pestania=1
76735631-5,FOCUS INVERSIONES SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76735631&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOsAAA&control=svs&pestania=1,76735631-5,FOCUS INVERSIONES SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8257,Certificado,,2018-01-18,,"SAN EUGENIO # 990, DEPTO. 1501",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76735631&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOsAAA&control=svs&pestania=1
79619240-2,FR GROUP CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=79619240&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAFUAAg&control=svs&pestania=1,79619240-2,FR GROUP CORREDORES DE SEGUROS SPA,FR GROUP CORREDORES DE SEGUROS,Corredor No Previs. Con Registro Vigente,Persona Jurídica,3043,Resolución,46,1986-04-07,,LA CONCEPCION 141 PISO 8,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=79619240&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAFUAAg&control=svs&pestania=1
76188225-2,FRANCISCO LARA DURAN CORREDORES DE SEGURO E.I.R.L.,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76188225&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHaAAX&control=svs&pestania=1,76188225-2,FRANCISCO LARA DURAN CORREDORES DE SEGURO E.I.R.L.,SANJO CORREDORES DE SEGURO E.I.R.L.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7104,Certificado,,2012-03-06,,ALFEREZ REAL 1083,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76188225&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHaAAX&control=svs&pestania=1
77730851-3,FRANSON CORREDORA DE SEGUROS SpA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77730851&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPvAAD&control=svs&pestania=1,77730851-3,FRANSON CORREDORA DE SEGUROS SpA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9853,Certificado,,2025-02-11,,UNO NORTE 24 OF. D,,SAN ANTONIO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77730851&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPvAAD&control=svs&pestania=1
77378151-6,FS CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77378151&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOeAAc&control=svs&pestania=1,77378151-6,FS CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9426,Certificado,,2023-05-31,,HUELEN #10 PP 403,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77378151&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOeAAc&control=svs&pestania=1
76080641-2,FUENTES Y COMPAÑIA LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76080641&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHXAAY&control=svs&pestania=1,76080641-2,FUENTES Y COMPAÑIA LIMITADA,F Y F CORREDORES DE SEGUROS LTDA.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,6836,Certificado,,2010-04-06,,MARTIN ALONSO PINZON 5020 DEPARTA 44,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76080641&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHXAAY&control=svs&pestania=1
77290425-8,FUENZALIDA SR CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77290425&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOiAAV&control=svs&pestania=1,77290425-8,FUENZALIDA SR CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9192,Certificado,,2022-07-06,,LT H PC 58 B OHIGGINS CHILLAN,,CHILLAN,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77290425&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOiAAV&control=svs&pestania=1
77715559-8,FULL COBERTURA LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77715559&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOhAAj&control=svs&pestania=1,77715559-8,FULL COBERTURA LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9458,Certificado,,2023-06-30,,AVENIDA PROVIDENCIA 1017 OFICINA 41,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77715559&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOhAAj&control=svs&pestania=1
76490518-0,FULL PROTECTION BROKERS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76490518&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOVAAN&control=svs&pestania=1,76490518-0,FULL PROTECTION BROKERS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7813,Certificado,,2015-08-20,,O´HIGGINS 779,,OSORNO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76490518&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOVAAN&control=svs&pestania=1
77952379-9,FÉNIX CORREDORES DE SEGUROS SpA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77952379&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPDAAD&control=svs&pestania=1,77952379-9,FÉNIX CORREDORES DE SEGUROS SpA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9924,Certificado,,2025-06-11,,"AUGUSTO LEGUIA SUR N°160, OFICINA 8",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77952379&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPDAAD&control=svs&pestania=1
77743467-5,G & A SECURITY CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77743467&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOjAAi&control=svs&pestania=1,77743467-5,G & A SECURITY CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9430,Certificado,,2023-06-12,,LOS QUILLAYES 1429 VILLA EL CANELO,,CHILLAN,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77743467&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOjAAi&control=svs&pestania=1
76226800-0,G & G BROKERS CORREDORES DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76226800&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAGrAAZ&control=svs&pestania=1,76226800-0,G & G BROKERS CORREDORES DE SEGUROS LIMITADA,G & G BROKERS LTDA.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,6025,Certificado,,2005-02-21,,NUEVA PROVIDENCIA 1945 OF 1301,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76226800&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAGrAAZ&control=svs&pestania=1
77394367-2,G&C INSURANCE BUSINESS BROKERS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77394367&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO5AAd&control=svs&pestania=1,77394367-2,G&C INSURANCE BUSINESS BROKERS SPA,G&C INSURANCE BUSINESS BROKER SPA,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9072,Certificado,,2022-02-18,,"AV. NUEVA PROVIDENCIA N°1363, OFICINA 1404",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77394367&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO5AAd&control=svs&pestania=1
79574640-4,GABRIEL ALFARO Y COMPAÑIA LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=79574640&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAFUAAU&control=svs&pestania=1,79574640-4,GABRIEL ALFARO Y COMPAÑIA LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,2887,Circular,540,1985-09-05,,IRARRAZAVAL 3435 DEPTO. 81,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=79574640&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAFUAAU&control=svs&pestania=1
78018267-9,GAPC CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78018267&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPmAAN&control=svs&pestania=1,78018267-9,GAPC CORREDORES DE SEGUROS SPA,GAPC CORREDORES DE SEGUROS SPA,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9845,Certificado,,2025-01-28,,ROMERO 2569 DEPTO. 222,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78018267&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPmAAN&control=svs&pestania=1
76685961-5,GAR CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76685961&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOOAAb&control=svs&pestania=1,76685961-5,GAR CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8202,Certificado,,2017-09-12,,DEL CANDIL 690 DP 201,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76685961&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOOAAb&control=svs&pestania=1
77230822-1,GARCÍA-HUIDOBRO CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77230822&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO4AAS&control=svs&pestania=1,77230822-1,GARCÍA-HUIDOBRO CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8908,Certificado,,2021-08-16,,AV. DEL VALLE 601 OF 32,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77230822&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO4AAS&control=svs&pestania=1
76468473-7,GARNET SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76468473&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOHAAW&control=svs&pestania=1,76468473-7,GARNET SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7820,Certificado,,2015-09-02,,DON CARLOS 2939 OF. 707,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76468473&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOHAAW&control=svs&pestania=1
77724207-5,GATICA CORREDORES DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77724207&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO+AAi&control=svs&pestania=1,77724207-5,GATICA CORREDORES DE SEGUROS LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9384,Certificado,,2023-04-21,,LAS CORTEZAS PINIENTE 1651,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77724207&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO+AAi&control=svs&pestania=1
77922302-7,GAVER CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77922302&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPtAAF&control=svs&pestania=1,77922302-7,GAVER CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9666,Certificado,,2024-05-31,,AVENIDA LOS FLAMENCOS 0846,,PUNTA ARENAS,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77922302&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPtAAF&control=svs&pestania=1
76866658-K,GELTS CHILE SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76866658&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO4AAT&control=svs&pestania=1,76866658-K,GELTS CHILE SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8905,Certificado,,2021-08-13,,AV LA DEHESA 222 OF 328,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76866658&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO4AAT&control=svs&pestania=1
77927363-6,"GENERA, CORREDORA DE SEGUROS, ÁLVARO FELIPE RIVAS YUTRONIC, EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA",VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77927363&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPFAAI&control=svs&pestania=1,77927363-6,"GENERA, CORREDORA DE SEGUROS, ÁLVARO FELIPE RIVAS YUTRONIC, EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA",,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9805,Certificado,,2024-11-15,,"CABILDO N°6150, DPTO. 102",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77927363&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPFAAI&control=svs&pestania=1
